"day","month","year","ACCESS1","CCSM4","CNRM","MPI-REMo","MPI","SMHI"
1,1,2041,0,0,0,3.25112466947886e-06,1.3233048915863,0
2,1,2041,0.015625324,0.0136199621483684,0,5.4708540432255e-09,0.17304502427578,0
3,1,2041,0.043868661,1.37182712554932,0.0827972590923309,1.34096064330694e-09,0.0814033970236778,0
4,1,2041,0.043153085,0.911159455776215,0.0159077160060406,1.47251776202139e-09,0,0
5,1,2041,0.103796914,0.071934700012207,0,7.99328620871079e-11,0,0
6,1,2041,0.13319993,0,0,0.000591137046512813,0,0
7,1,2041,0.020019531,0,0.250613868236542,1.50714895563731e-06,0,0
8,1,2041,17.93783379,0,0,1.89329829158174e-08,0,0
9,1,2041,0,0.0379605814814568,0,4.23715609473852e-08,5.65497303009033,0
10,1,2041,0,0.0177872851490974,0,7.02795977663983e-08,0.328279733657837,0
11,1,2041,0,0.185551226139069,0,1.03549445018558e-05,1.99869823455811,0
12,1,2041,0.020022836,0.447111815214157,0,1.8858123861719,1.75819158554077,0
13,1,2041,0.028196141,0.840373992919922,0,7.67033093143255,0.0518450289964676,0
14,1,2041,0,1.99464654922485,0,2.2838051605504,0.00523519748821855,0
15,1,2041,0,51.5243186950684,0,0.0776248691181536,0,0
16,1,2041,0,0.910363137722015,0,5.21156208124012,0.421506285667419,0
17,1,2041,0,2.38772654533386,0,0.0722034787031589,0.927455425262451,0
18,1,2041,0,0.190891444683075,0,2.97981780851726e-10,1.49851608276367,0
19,1,2041,0,0,0.00691555859521031,6.45883663935067e-10,0.0304495356976986,0
20,1,2041,0,0.123253621160984,0,0.00429801106065497,0.17866076529026,0
21,1,2041,0,0.0512068085372448,0.0385217033326626,0.0122245326565462,0,0
22,1,2041,0,0,0,0.00131600801296372,0,0
23,1,2041,0,0,0.00175965123344213,2.13684996211222e-11,0,0
24,1,2041,0.01729127,2.27404308319092,0.00975399743765593,1.43879358427412e-06,0.134409204125404,0
25,1,2041,0,0.455484330654144,0.0114646852016449,1.65862187265914e-09,0.0624250024557114,0
26,1,2041,0,0.0140490373596549,0,9.62454383768644e-10,0,0
27,1,2041,0,0,0,3.41117685855909e-10,0,0
28,1,2041,0,0,0,2.42092251428403,0,0
29,1,2041,0.013278999,0,0,21.7083991505206,0,0
30,1,2041,0,0,0,0.0145524188155833,0,0
31,1,2041,0.101103678,0,0,6.4356681604965e-10,0.900207996368408,0
1,2,2041,0,0.0581510439515114,0,2.9666217564476e-12,0.507805347442627,0
2,2,2041,0,0.0536315776407719,0,4.554373388431e-11,0.373928368091583,10.052490234375
3,2,2041,0,18.9869556427002,0,1.53126960841163e-12,0.0108112879097462,34.9365234375
4,2,2041,0.003831751,0,0,1.11421494589353e-09,1.82124495506287,5.64422607421875
